,pearsonr,f_regression,rfr,rfe,rg,rf
102,0.012796887734781926,0.08156600445318647,0.074,3326.0,-0.004277056890959998,0.0024840248667030206
103,0.039984087588687295,0.7974410664006553,0.076,322.0,0.007767780138966392,0.00448687420635834
104,0.07914287014019819,3.1389307466848204,-0.028,1068.0,0.005914823978089262,0.0
105,0.09371981255976428,4.412895063500532,-0.01,430.0,0.01582724097266682,0.0003346604955085955
106,0.007668163461186078,0.029284485921176745,0.089,1975.0,-3.458354737528868e-05,0.000592957459429393
107,0.04307381997549057,0.9256837467178515,0.113,1060.0,0.008279250040374792,0.0
108,0.008275575982121555,0.034107944490225604,0.138,6128.0,-0.0028905156417745603,4.235993956047348e-06
109,0.03537868109571595,0.6241033955706957,0.105,6080.0,-0.0007244663769882566,1.6302560165195128e-06
110,-0.18484187161778992,17.616831498314948,-0.042,516.0,-0.015735311462340803,1.2672781455389253e-07
111,-0.03811920528129966,0.7246837770342307,-0.016,3504.0,-0.005003451697869275,0.0002034310193030257
112,0.23542100068032343,29.220147299043614,0.033,264.0,0.016965856829649677,0.0007293335364608076
113,0.073061660311371,2.672593411532958,-0.029,1549.0,-0.004076249394090696,3.7655650136017284e-06
114,0.007882267510631091,0.0309427327487108,0.122,3658.0,-0.003965375060118535,0.0024748765669125425
115,0.043611457229719194,0.9489806048400337,0.095,681.0,0.008708074330030395,0.0
116,0.21710390258736226,24.63387992120045,-0.019,6360.0,0.0019813842360931044,0.0
117,0.2030860451108703,21.423054173729234,-0.039,1400.0,0.007453145421600739,8.613054422930912e-05
118,0.1749740913347803,15.728270112213762,0.014,6033.0,0.004013338967659638,1.7620954156457314e-06
119,0.22284976913017782,26.02409487107983,0.027,1399.0,-0.0042850016267148,4.820485219231987e-08
120,0.01680824456078063,0.14073326798974486,0.085,3557.0,-0.00011544443254370151,8.499711643214927e-06
121,0.044838201021343914,1.0032281612472513,0.146,1751.0,0.005998776800647587,0.0016208662595685289
122,0.24504798441021672,31.814578485104136,-0.001,1205.0,0.015238138188741117,2.2182736188936797e-06
123,0.08752258399590092,3.8442285189573147,-0.005,5149.0,0.008716018686989447,0.0
124,0.009019434335385018,0.040515693433293545,0.095,1022.0,0.0048828537434269514,0.0
125,0.03782254792741176,0.7134320723751959,0.116,1116.0,-0.004608081076086304,1.142099230089673e-05
126,0.01594955418615199,0.12671759828274168,0.187,4378.0,-0.0027883053764425833,0.00029357831341173045
127,0.036773699532557484,0.6743598188403135,0.169,6677.0,-0.0011857631055932245,0.0
