学校,学院,url
广州大学,数学与信息科学学院,http://maths.gzhu.edu.cn/summary.jsp?urltype=tree.TreeTempUrl&wbtreeid=1022
广州大学,数学与信息科学学院,http://maths.gzhu.edu.cn/summary.jsp?a62047t=2&a62047p=2&a62047c=4&urltype=tree.TreeTempUrl&wbtreeid=1022
广东石油化工学院,计算机与电子信息学院,http://web2.gdupt.edu.cn/scei/xinxi/index.php?url=static/szdw
台州学院,数学与信息工程学院,http://www.sxx.tzc.edu.cn/news/show?cabh=1&newid=2225
浙江工商大学,信息与电子工程学院,http://iee.zjgsu.edu.cn/Teacherlist.asp?nid=54
浙江工商大学,信息与电子工程学院,http://iee.zjgsu.edu.cn/Teacherlist.asp?nid=54
浙江工商大学,信息与电子工程学院,http://iee.zjgsu.edu.cn/TeacherList.asp?nid=55
浙江工商大学,信息与电子工程学院,http://iee.zjgsu.edu.cn/TeacherList.asp?nid=55
浙江工商大学,信息与电子工程学院,http://iee.zjgsu.edu.cn/TeacherList.asp?nid=56
浙江工商大学,信息与电子工程学院,http://iee.zjgsu.edu.cn/TeacherList.asp?nid=57
浙江工商大学,信息与电子工程学院,http://iee.zjgsu.edu.cn/TeacherList.asp?nid=58
河池学院,计算机与信息工程学院,http://222.218.130.34/jixinxi/index.php?m=content&c=index&a=show&catid=16&id=1758
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/jlgcx/tzjlyjs/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/jlgcx/qjyjs/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/jlgcx/zdyzskzyjs/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/jlgcx/ddjlgcjzzx/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/rnydlgcx/fdjyjs/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/rnydlgcx/dlxtgcyjs/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/rnydlgcx/ltjxgcyjs/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/rnydlgcx/yljxyzyjzyjs/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/rnydlgcx/rngcyjs/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/zzgcx/xjjgyjs/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/zzgcx/wxxzzyjs/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/zzgcx/szhzzyjs/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/zzgcx/gygcyjs/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/zzgcx/jgwnzzyjs/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/zzgcx/jcykzyjs/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/zzgcx/jdxtyzbyjs/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/jdkxjcb/ztjys/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/jdkxjcb/jxsjjys/index.htm
北京理工大学,机械与车辆学院,http://me.bit.edu.cn/szdw/gcxlzx/index.htm
