院校名称,院校所在地,院校隶属,院校类型,学历层次,院校特性,研究生院,学信链接,学校链接,isurl,
陕西师范大学,陕西,教育部,师范,本科,-211,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-560.dhtml,http://www.snnu.edu.cn/,1,
延安大学,陕西,陕西省教育厅,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-561.dhtml,http://www.yau.edu.cn/,1,
陕西理工大学,陕西,陕西省教育厅,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-562.dhtml,http://www.snut.edu.cn/,1,
宝鸡文理学院,陕西,陕西省教育厅,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-563.dhtml,http://ein.bjwlxy.cn,1,
咸阳师范学院,陕西,陕西省教育厅,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-564.dhtml,http://zsb.xync.edu.cn/,1,
渭南师范学院,陕西,陕西省教育厅,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-565.dhtml,http://www.wnu.edu.cn/,1,
西安外国语大学,陕西,陕西省教育厅,语言,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-566.dhtml,http://www.xisu.edu.cn/,1,
西北政法大学,陕西,陕西省教育厅,政法,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-567.dhtml,http://www.nwupl.edu.cn/,1,
西安体育学院,陕西,陕西省教育厅,体育,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-568.dhtml,http://www.xaipe.edu.cn/,1,
西安音乐学院,陕西,陕西省教育厅,艺术,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-569.dhtml,http://www.xacom.edu.cn/,1,
重庆三峡学院,重庆,重庆市教育委员会,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-497.dhtml,http://www.sanxiau.net,1,
长江师范学院,重庆,重庆市教育委员会,师范,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-500.dhtml,http://www.yznu.cn,1,
四川外国语大学,重庆,重庆市教育委员会,语言,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-502.dhtml,http://www.sisu.edu.cn,1,
西南政法大学,重庆,重庆市教育委员会,政法,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-504.dhtml,http://zs.swupl.edu.cn/,1,
四川美术学院,重庆,重庆市教育委员会,艺术,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-507.dhtml,http://www.scfai.edu.cn,1,
重庆航天职业技术学院,重庆,重庆市教育委员会,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-653.dhtml,http://www.cqepc.cn,1,
重庆科技学院,重庆,重庆市教育委员会,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-849.dhtml,http://www.cqust.cn,1,
重庆理工大学,重庆,重庆市教育委员会,工科,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-884.dhtml,http://www.cqut.edu.cn,1,
重庆工商大学,重庆,重庆市教育委员会,综合,本科/高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-912.dhtml,http://www.ctbu.edu.cn,1,
重庆电力高等专科学校,重庆,重庆市教育委员会,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-943.dhtml,http://www.cqepc.com.cn,1,
重庆工业职业技术学院,重庆,重庆市教育委员会,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-994.dhtml,http://www.cqipc.net,1,
重庆三峡职业学院,重庆,重庆市教育委员会,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1132.dhtml,http://www.cqsxedu.com,1,
重庆工贸职业技术学院,重庆,重庆市教育委员会,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1133.dhtml,http://www.cqgmy.cn,1,
重庆机电职业技术学院,重庆,重庆市教育委员会,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1134.dhtml,http://www.cqevi.net.cn,1,
重庆电子工程职业学院,重庆,重庆市教育委员会,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1136.dhtml,http://www.cqcet.com,1,
重庆海联职业技术学院,重庆,重庆市教育委员会,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1236.dhtml,http://www.ccca.edu.cn,1,
重庆信息技术职业学院,重庆,重庆市教育委员会,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1237.dhtml,http://zs.cqeec.com,1,
重庆传媒职业学院,重庆,重庆市教育委员会,工科,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1238.dhtml,http://www.cqcmxy.com,1,
桂林山水职业学院,广西,广西壮族自治区教育厅,综合,高职(专科),-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1796.dhtml,http://www.guolianweb.com,1,
广西大学行健文理学院,广西,广西壮族自治区教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1879.dhtml,http://xingjian.gxu.edu.cn/,1,
广西科技大学鹿山学院,广西,广西壮族自治区教育厅,工科,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1880.dhtml,http://www.lzls.gxut.edu.cn,1,
广西民族大学相思湖学院,广西,广西壮族自治区教育厅,民族,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1881.dhtml,http://xshxy.gxun.edu.cn/,1,
广西师范大学漓江学院,广西,广西壮族自治区教育厅,综合,本科,-,0,http://gaokao.chsi.com.cn/sch/schoolInfo--schId-1882.dhtml,http://weibo.com/ljzhaoshengban,1,
