,pearsonr,f_regression,rfr,rfe,rg,rf,mic
208,0.131206211,8.723276527,0.019,156,0.006196496,0.00216346,0.16757376
209,0.066530964,2.214132387,-0.077,957,-0.003590057,0.000274477,0.182702519
210,-0.076766961,2.952194559,-0.062,1150,0.005773109,0.001045315,0.163223733
211,0.065725503,2.160614716,-0.083,1779,-0.003398924,6.28E-05,0.183364477
212,-0.075491224,2.854331182,-0.079,1557,0.00567756,0.000128555,0.157641689
213,0.05190742,1.34542645,-0.065,862,-0.00600065,5.13E-06,0.183836853
214,-0.075375496,2.845536564,-0.092,1009,0.005909574,0,0.161307598
215,-0.082235948,3.390781042,-0.1,4071,0.000290258,1.41E-05,0.160865592
216,-0.074081507,2.748140677,-0.079,702,0.006795099,0.000298755,0.167631719
217,-0.071964919,2.592543537,-0.049,1839,0.002865185,4.24E-05,0.160116176
218,-0.081897528,3.362742719,-0.082,221,0.007734876,0,0.161270899
219,-0.070740724,2.504650434,-0.04,1597,0.002908782,0,0.164346291
220,-0.075579878,2.861077712,-0.07,644,0.010467301,0,0.160918203
221,0.131206211,8.723276527,-0.011,1880,0.006196496,0.000638118,0.16757376
222,0.131206211,8.723276527,0.024,151,0.006196496,5.67E-06,0.16757376
223,-0.019187167,0.183404911,-0.097,434,0.012501657,0,0.154433959
224,-0.023731278,0.280618471,-0.041,2395,-0.002583744,0,0.156827012
225,0.082353403,3.400540072,-0.062,3523,0.003434527,0.000139021,0.147975816
226,0.126440148,8.090931913,-0.01,3245,0.003677318,3.82E-07,0.16757376
227,0.071237993,2.540167106,-0.075,786,0.017588755,0.000657625,0.167864901
228,0.02117557,0.223405755,-0.069,6332,-0.002568668,0.000478396,0.163037474
229,0.110518476,6.157953364,-0.038,1415,0.008738619,0,0.168364903
230,0.01228956,0.075225941,0.035,5109,0.001059072,0.000932257,0.163421872
231,0.126957824,8.158407594,0.011,349,0.032661732,7.12E-09,0.181384836
232,-0.000132025,8.68E-06,-0.045,5054,0.000410341,0,0.154793027
233,0.029469605,0.43286783,-0.074,2057,-0.000266618,0,0.191726848
234,-0.010491275,0.054819323,-0.036,3370,-0.000897717,0,0.153769005
235,0.009481321,0.044771959,-0.02,2626,-0.006467401,0,0.163054768
236,0.041768336,0.870326142,-0.032,4908,0.002476622,0.000353744,0.149561304
237,0.005683123,0.016084869,-0.038,4474,0.001429758,0.000161326,0.123409826
238,-0.085947007,3.706046369,-0.032,271,-0.009444328,5.99E-05,0.16010945
239,-0.033035878,0.544095698,-0.081,773,-0.011231297,0,0.159170586
240,0.060201139,1.811405057,-0.023,563,0.023732893,0,0.176523637
241,0.022540799,0.253156252,-0.028,1026,-0.005076077,0,0.16860886
242,0.012278245,0.075087457,-0.026,2701,-0.002657787,0,0.148328196
243,-0.031601002,0.497811552,-0.026,4096,-0.001477051,2.21E-05,0.167389647
244,-0.01547561,0.119296839,-0.053,942,0.008726113,0,0.147767351
245,-0.043313085,0.936015616,-0.027,865,-0.016940976,0.000340292,0.158059537
246,-0.010121764,0.05102538,-0.005,275,-0.013605427,0,0.151068817
247,-0.024606785,0.301718643,-0.023,445,-0.016227796,0,0.184185003
248,-0.015356871,0.117472779,-0.064,331,-0.031667151,0.000116092,0.157248546
249,0.014224546,0.100784565,-0.055,1453,-0.008845585,0,0.156988099
250,0.083274811,3.477593762,-0.044,548,0.020741647,0.00022037,0.160149171
251,0.131206211,8.723276527,-0.059,152,0.006196496,0,0.16757376
252,-0.007106667,0.025152621,0.002,2063,-0.002152524,0,0.12906066
253,-0.064935088,2.10874134,-0.033,191,-0.025061991,0,0.146064481
254,0.022311861,0.24803742,0.082,5146,-0.004106923,4.83E-06,0.23460344
255,0.037915468,0.716946873,0.065,5563,-0.001893402,0,0.221838119
